Location_ID;Checklist_ID;Latitude.x;Longitude.x;Date;JulianDate;Time;MinutesSinceDawn;Year;Observer;Count;Occur;Latitude.y;Longitude.y;DistanceToRiver;CanopyCover_165;ConiferCover_165;HardwoodCover_165;ShrubCover_165;OakCover_165;DiameterDiversityIndex_165;TreeBasalArea_165;DensityLiveTrees_165;CompoundTopographicIndex_mean165;Elevation_mean165;Slope_mean165;TemperateFreshwaterMeadowMarsh_165;CultivatedCropland_165;PastureHay_165;WoodyAgriculture_165;TemperateGrasslandShrublandMeadow_165;TemperateForest_165;DevelopedOpenSpace_165;DevelopedLowIntensity_165;DevelopedMediumIntensity_165;DevelopedHighIntensity_165;UplandPrairieSavannah_165;WetPrairie_165;Oaks_165;CanopyCover_315;ConiferCover_315;HardwoodCover_315;ShrubCover_315;OakCover_315;DiameterDiversityIndex_315;TreeBasalArea_315;DensityLiveTrees_315;CompoundTopographicIndex_mean315;Elevation_mean315;Slope_mean315;TemperateFreshwaterMeadowMarsh_315;CultivatedCropland_315;PastureHay_315;WoodyAgriculture_315;TemperateGrasslandShrublandMeadow_315;TemperateForest_315;DevelopedOpenSpace_315;DevelopedLowIntensity_315;DevelopedMediumIntensity_315;DevelopedHighIntensity_315;UplandPrairieSavannah_315;WetPrairie_315;Oaks_315
44.28875_-123.58219;44.28875_-123.58219_158_163_12;44.28875;-123.58219;06.06.2012;158;06:51:00;163;12;WDRobinson;0;0;44.28875;-123.58219;84.85281372;71.15685272;67.4005661;9.904740334;31.36585426;0;3.625070333;38.0302887;544.3532104;5.551624298;2136.160889;25.17503929;0;0;0;0;0;90.90908813;9.090909004;0;0;0;0;0;0;70.33179474;64.9386673;12.25362301;38.05130005;0;3.841297865;40.04515839;561.1964722;5.895850182;2125.376953;23.30051041;0;0;0;0;0;90.02267456;9.977324486;0;0;0;0;0;0
44.28888_-123.60916;44.28888_-123.60916_158_240_12;44.28888;-123.60916;06.06.2012;158;08:08:00;240;12;WDRobinson;0;0;44.28888;-123.60916;120;63.11555099;59.88562775;8.87484169;48.4930954;0;5.240021706;48.25213242;397.4545288;6.293857098;1792.734619;16.3317852;0;0;0;0;0;83.47107697;16.52892494;0;0;0;0;0;0;66.09542084;56.65106201;18.97209549;54.04183578;0;5.216980457;46.59916306;450.5024109;6.170441151;1770.993652;19.93624496;0;0;0;0;0;90.02267456;9.977324486;0;0;0;0;0;0
44.28926_-123.57289;44.28926_-123.57289_158_148_12;44.28926;-123.57289;06.06.2012;158;06:36:00;148;12;WDRobinson;0;0;44.28926;-123.57289;0;66.32129669;63.69421387;9.730273247;35.75684738;0;3.56551075;38.00849152;601.8779907;5.767606735;2126.435547;21.78719711;0;0;0;0;0;83.47107697;16.52892494;0;0;0;0;0;0;69.6626358;64.15252686;13.41577911;39.46274948;0;3.799608469;38.29035568;609.7696533;5.973060608;2121.696289;22.90962219;0;0;0;0;0;89.11564636;10.88435364;0;0;0;0;0;0
44.28978_-123.59673;44.28978_-123.59673_158_180_12;44.28978;-123.59673;06.06.2012;158;07:08:00;180;12;WDRobinson;0;0;44.28978;-123.59673;94.86833191;66.19013214;61.56738281;13.59434319;31.60621452;0;3.260837317;33.56576157;706.0807495;6.026967049;2115.747803;18.55137634;0;0;0;0;0;45.45454407;15.70247936;0;0;0;0;0;0;65.93257904;60.34093094;13.77556229;36.84859848;0;3.669274569;36.57255554;604.3234253;6.153368473;2074.149902;19.27298355;0;0;0;0;0;59.41043091;14.7392292;0;0;0;0;0;0
44.29037_-123.37846;44.29037_-123.37846_156_282_12;44.29037;-123.37846;06.04.2012;156;08:50:00;282;12;WDRobinson;0;0;44.29037;-123.37846;169.7056274;58.66381836;54.91741943;10.96445942;26.1528492;1.685275197;3.105319023;28.38623428;675.2971802;7.393788815;647.4050903;7.136465073;0;1.65289259;0;0;0;78.51239777;19.83471107;0;0;0;0;0;1.65289259;54.08895111;49.37927246;11.00603771;25.41078568;1.692357421;2.662521362;23.95005989;650.0465088;7.204660892;651.7245483;7.587867737;0;10.20408154;0;0.226757362;1.8140589;63.94557953;12.92516994;1.8140589;0;0;1.8140589;0;10.88435364
44.29166_-123.61243;44.29166_-123.61243_158_248_12;44.29166;-123.61243;06.06.2012;158;08:16:00;248;12;WDRobinson;0;0;44.29166;-123.61243;60;66.51441193;63.12932587;12.42926216;42.92915344;0;5.151918888;47.32040024;439.6247559;5.851774216;1532.192749;16.86628914;0;0;0;0;0;86.7768631;13.22314072;0;0;0;0;0;0;68.4916153;60.60504913;18.23461914;44.56726074;0;4.595737934;42.42261505;542.6550903;6.047161102;1483.449463;19.21885872;0;0;0;0;0;79.81859589;8.163265228;0;0;0;0;0;0
44.29172_-123.23023;44.29172_-123.23023_144_336_12;44.29172;-123.23023;5/23/2012;144;09:55:00;336;12;WDRobinson;7;1;44.29172;-123.23023;30;2.839570999;0.470097542;2.44813633;2.18243885;2.324218988;0.186592564;1.11547935;43.39873886;9.429506302;287.9056091;1.139533281;0;45.45454407;26.44628143;3.305785179;0;6.611570358;0;18.18181801;0;0;0;0;6.611570358;1.251466036;0.324442178;0.976707697;0.877397954;0.983735383;0.074688211;0.514784336;21.1490078;9.422424316;288.78125;0.929175079;0;57.5963707;27.43764114;2.721088409;0;2.267573595;0;9.977324486;0;0;0;0;2.267573595
44.29191_-123.56621;44.29191_-123.56621_158_140_12;44.29191;-123.56621;06.06.2012;158;06:28:00;140;12;WDRobinson;0;0;44.29191;-123.56621;30;67.58045197;66.04639435;5.329554558;34.73944092;0;3.323605061;35.59574127;579.4347534;5.683651924;2185.465332;21.29633904;0;0;0;0;0;63.63636398;14.87603283;0;0;0;0;0;0;73.70820618;71.86051941;6.610697746;37.83020401;0;3.803934574;40.38565063;666.7210693;5.808128357;2188.390625;21.14254379;0;0;0;0;0;69.84127045;7.02947855;0;0;0;0;0;0
44.29225_-123.43856;44.29225_-123.43856_160_229_12;44.29225;-123.43856;06.08.2012;160;07:55:00;229;12;WDRobinson;1;1;44.29225;-123.43856;108.1665421;70.29548645;68.04206848;6.237268448;39.06755447;0;5.858551979;49.41107941;517.4761353;6.727670193;1186.072632;11.71607876;0;0;0;0;0;91.73553467;8.264462471;0;0;0;0;0;0;72.01516724;67.94812012;11.09349442;40.77799988;0.087576874;5.384210587;47.12627792;590.2695313;6.608279705;1197.033691;12.37729263;0;0;0;0;0;89.79592133;6.802721024;0;0;0;0;0;0
44.29273_-123.44309;44.29273_-123.44309_160_237_12;44.29273;-123.44309;06.08.2012;160;08:03:00;237;12;WDRobinson;0;0;44.29273;-123.44309;120;66.88054657;63.50832748;11.62066746;30.56247139;0.158537194;3.736261845;36.21662903;829.1140747;6.34304285;1313.1073;10.84967422;0;0;0;0;0;67.76859283;15.70247936;0;0;0;0;0;0;69.12420654;64.72237396;13.44931793;38.64516449;0.143578917;4.012852192;37.18336105;800.3632813;6.350665092;1296.148804;12.60010052;0;0;0;0;0;67.12017822;9.977324486;0;0;0;0;0;0
44.29282_-123.65852;44.29282_-123.65852_155_197_12;44.29282;-123.65852;06.03.2012;155;07:27:00;197;12;WDRobinson;0;0;44.29282;-123.65852;30;35.09804916;29.78861618;7.575752735;26.80499458;0.924476027;1.90965867;16.07966232;403.0401001;7.772300243;375.7002258;7.483266354;0;0.826446295;9.917355537;0;4.958677769;64.4628067;19.83471107;0;0;0;4.958677769;0;0;44.1595993;34.39088058;15.11892605;32.98986435;0.286274165;2.563470125;21.307724;433.7731018;7.271176815;399.2329407;8.822266579;0;0.453514725;11.11111069;0;1.360544205;73.46939087;13.60544205;0;0;0;1.360544205;0;0
44.29316_-123.69649;44.29316_-123.69649_155_247_12;44.29316;-123.69649;06.03.2012;155;08:17:00;247;12;WDRobinson;8;1;44.29316;-123.69649;42.42640686;31.60503197;22.5256443;14.19516373;26.01660538;0.545964479;2.132569551;16.66462517;297.1157227;7.552411556;337.9044189;10.8401432;0;0;42.14876175;0;0;45.45454407;12.39669418;0;0;0;0;0;0;38.32079315;31.90583038;11.53202724;26.50785446;0.149799764;2.489127874;21.83221436;331.8826599;7.692007542;375.9101868;10.59454346;0;0;34.92063522;0;0;58.95691681;6.122448921;0;0;0;0;0;0
44.2934_-123.67673;44.2934_-123.67673_155_231_12;44.2934;-123.67673;06.03.2012;155;08:01:00;231;12;WDRobinson;0;0;44.2934;-123.67673;180;22.37341118;15.25815868;9.285351753;17.31043434;0;1.06222403;8.569930077;324.3296204;6.890960693;358.4315796;9.771913528;0;0;48.7603302;0;0;33.05784988;18.18181801;0;0;0;0;0;0;27.57661819;18.93304634;13.41695881;19.41857719;0.12030068;1.443478942;12.35360527;398.6906738;7.544234276;376.1918945;8.575782776;0;0;43.53741455;0;0.680272102;45.12471771;10.65759659;0;0;0;0.680272102;0;0
44.29367_-123.68785;44.29367_-123.68785_155_240_12;44.29367;-123.68785;06.03.2012;155;08:10:00;240;12;WDRobinson;0;0;44.29367;-123.68785;60;35.65826797;24.70352173;18.05556297;20.16464806;0;2.09322238;16.91006088;363.3045044;7.730132103;346.2510376;9.013874054;0;0;34.71074295;0;0;51.2396698;14.04958725;0;0;0;0;0;0;41.37203979;31.73119736;16.03429794;28.30732346;0;2.373764515;20.33901787;427.2072144;7.748954296;375.4710999;9.267429352;0;0;29.4784584;0;0;63.49206161;7.02947855;0;0;0;0;0;0
44.2937_-123.51965;44.2937_-123.51965_191_236_12;44.2937;-123.51965;07.09.2012;191;08:13:00;236;12;WDRobinson;0;0;44.2937;-123.51965;150;62.05226898;56.17512894;18.22761536;30.17942238;0;3.021102428;29.43538475;832.5546875;5.683264256;1828.278442;18.5049839;0;0;0;0;0;76.8595047;23.1404953;0;0;0;0;0;0;69.20127106;63.45695496;19.22376633;37.29380798;0;3.334493876;34.34146881;930.9892578;6.014791012;1820.981689;21.50119591;0;0;0;0;0;84.58049774;15.4195013;0;0;0;0;0;0
44.2939_-123.55869;44.2939_-123.55869_158_132_12;44.2939;-123.55869;06.06.2012;158;06:20:00;132;12;WDRobinson;0;0;44.2939;-123.55869;42.42640686;73.44517517;71.6920166;5.110951424;72.47649384;0;5.083236217;57.32089233;533.8154907;6.426402569;2082.761475;14.95611191;0;0;0;0;0;90.0826416;7.438016415;0;0;0;0;0;0;71.26602936;69.39250946;5.40835762;64.06546021;0;4.77881813;55.35196304;504.1749878;6.407283783;2093.039795;18.28516006;0;0;0;0;0;84.80725861;7.709750652;0;0;0;0;0;0
44.29395_-123.35601;44.29395_-123.35601_156_239_12;44.29395;-123.35601;06.04.2012;156;08:07:00;239;12;WDRobinson;1;1;44.29395;-123.35601;180;15.85924053;13.75093746;3.879788399;8.701658249;2.011552095;0.700205803;5.983787537;245.7149353;7.484103203;390.3180847;6.248013973;0;0;48.7603302;11.57024765;0;28.92561913;0;10.74380207;0;0;0;0;0.826446295;14.80032158;11.33646965;4.706219196;11.66208839;2.710963488;0.665523827;4.728383064;235.4046478;7.725948811;403.9766235;7.553280354;0;0;48.07256317;12.47165489;0;34.92063522;0;4.53514719;0;0;0;0;0.680272102
44.29432_-123.35115;44.29432_-123.35115_156_232_12;44.29432;-123.35115;06.04.2012;156;08:00:00;232;12;WDRobinson;0;0;44.29432;-123.35115;90;14.71679211;11.08675766;5.331893444;11.83615017;2.908330441;0.809426427;5.705136299;192.6551361;7.798600674;390.1928711;6.433508396;0;0;52.06611633;4.132231236;0;28.0991745;6.611570358;9.090909004;0;0;0;0;16.52892494;26.20215416;20.59047127;8.01966095;18.80707169;3.861221075;1.384792566;10.14604092;369.8337402;7.750076294;406.5607605;6.347878456;0;0.226757362;41.26984024;1.587301612;0.453514725;43.99092865;3.854875326;4.761904716;0;0;0.453514725;0;13.60544205
44.29446_-123.29568;44.29446_-123.29568_146_338_12;44.29446;-123.29568;5/25/2012;146;09:54:00;338;12;WDRobinson;1;1;44.29446;-123.29568;174.9285583;1.84877193;1.451297522;0.440872729;1.020868659;0.15287438;0.064958677;0.639221489;27.18161201;7.154100418;352.2933044;4.758020878;0;8.264462471;23.96694183;37.19008255;0;2.479338884;0;18.18181801;9.917355537;0;0;0;0;1.678436518;0.826242864;0.916016757;1.168613672;0.651929259;0.082821995;0.684080482;26.48990059;7.485431671;350.5067139;4.885151386;0;17.68707466;31.74603081;30.15872955;0;2.494331121;0.226757362;10.65759659;7.02947855;0;0;0;0.226757362
44.29452_-123.30111;44.29452_-123.30111_146_330_12;44.29452;-123.30111;5/25/2012;146;09:47:00;330;12;WDRobinson;0;0;44.29452;-123.30111;134.1640778;0;0;0;0;0;0;0;0;7.399647236;402.8431396;6.908984184;0;52.06611633;0;41.32231522;0;0;0;0;6.611570358;0;0;0;0;0;0;0;0;0;0;0;0;7.136839867;412.2798767;6.433290482;0;50.56689453;5.895691395;38.77550888;0;0;0;0;4.761904716;0;0;0;0
44.29463_-123.30647;44.29463_-123.30647_146_323_12;44.29463;-123.30647;5/25/2012;146;09:40:00;323;12;WDRobinson;0;0;44.29463;-123.30647;361.2478333;17.39143753;14.64587879;5.926061153;7.057185173;0.748101652;0.717337191;7.221711636;334.6520691;6.711262703;482.3754883;6.30484581;0;36.36363602;17.35537148;27.27272797;0;9.917355537;0;0;0;0;0;0;5.785123825;12.73916817;10.86966896;3.689431667;5.504617214;0.643642426;0.574310005;5.430222511;212.9058228;7.031831741;471.6209717;6.330652237;0;36.50793839;21.99546432;22.67573738;0;10.43083858;2.267573595;0;0;0;0;0;4.081632614
44.29494_-123.21324;44.29494_-123.21324_144_321_12;44.29494;-123.21324;5/23/2012;144;09:39:00;321;12;WDRobinson;0;0;44.29494;-123.21324;301.4962769;0;0;0;0;0;0;0;0;10.11913681;295.9041748;0.206746981;0;77.68595123;9.917355537;3.305785179;0;0;0;9.090909004;0;0;0;0;0;0.463044435;0.04553492;0.435190469;0.45486486;0.375363946;0.02512585;0.148835152;12.22512722;9.643476486;294.951355;0.48315841;0;76.64398956;11.11111069;3.174603224;0;0.226757362;0;7.709750652;1.133786798;0;0;0;0.226757362
44.29506_-123.22078;44.29506_-123.22078_144_328_12;44.29506;-123.22078;5/23/2012;144;09:46:00;328;12;WDRobinson;4;1;44.29506;-123.22078;180;1.269289255;0.712373555;0.659332216;0.59710741;0.667147934;0.058804132;0.631283462;20.20097351;10.04350567;290.9546509;0.317331105;0;20.66115761;62.80991745;0;0;3.305785179;0;13.22314072;0;0;0;0;3.305785179;2.273136854;1.195072055;1.258576155;1.337358475;0.793251693;0.098101363;0.961496592;51.38708115;9.889920235;290.4105225;0.722809911;2.494331121;40.58956909;39.45578384;1.587301612;0.90702945;3.174603224;0;11.79138279;0;0;0.90702945;2.494331121;2.721088409
44.29516_-123.72128;44.29516_-123.72128_155_298_12;44.29516;-123.72128;06.03.2012;155;09:08:00;298;12;WDRobinson;0;0;44.29516;-123.72128;90;30.4875927;21.14006424;15.15859604;23.73187447;0;1.74221158;13.67510509;394.1598816;8.16539669;254.3950043;7.567152977;2.479338884;0;0.826446295;0;9.917355537;66.11569977;20.66115761;0;0;0;9.917355537;2.479338884;2.479338884;40.12093735;26.54086494;21.58970451;27.058918;0;2.510397911;20.63954735;391.01474;7.642811775;295.6204529;9.620090485;2.721088409;0.226757362;11.56462574;0;5.895691395;66.89342499;12.6984129;0;0;0;5.895691395;2.721088409;2.040816307
44.29521_-123.36196;44.29521_-123.36196_156_246_12;44.29521;-123.36196;06.04.2012;156;08:14:00;246;12;WDRobinson;1;1;44.29521;-123.36196;240;9.008560181;8.739096642;0.460003316;3.037326336;0.184145465;0.622197509;4.817377567;84.39043427;7.51253891;384.6422729;5.521333218;0;0;58.67768478;11.57024765;0;15.70247936;0;14.04958725;0;0;0;0;5.785123825;5.579298019;4.30629158;1.45265913;3.674031973;1.132866383;0.34231019;2.49145484;76.56499481;7.899194717;387.8416443;5.157368183;0;1.587301612;55.55555725;16.78004456;0;14.96598625;4.081632614;7.02947855;0;0;0;0;6.575963497
44.29532_-123.23845;44.29532_-123.23845_144_353_12;44.29532;-123.23845;5/23/2012;144;10:12:00;353;12;WDRobinson;1;1;44.29532;-123.23845;30;5.554413319;1.973767042;3.796324015;4.525975227;3.703163624;0.381639659;1.973054528;96.75888062;9.701612473;288.3248901;0.71918273;0;68.59503937;0.826446295;2.479338884;0;15.70247936;6.611570358;5.785123825;0;0;0;0;0.826446295;2.378120899;1.127930641;1.393669128;1.740006804;1.096923828;0.13628979;0.87890023;46.9074707;9.740941048;289.2637024;0.559276521;0;80.27210999;6.349206448;1.360544205;0;5.668934345;3.6281178;2.721088409;0;0;0;0;0.226757362
44.29565_-123.66791;44.29565_-123.66791_155_224_12;44.29565;-123.66791;06.03.2012;155;07:54:00;224;12;WDRobinson;2;1;44.29565;-123.66791;90;31.51731682;24.48579025;11.94565392;16.5453701;0;1.75796783;15.68611717;351.9176941;7.246695995;416.6557007;13.48966026;0;0;42.14876175;0;0;42.97520828;14.87603283;0;0;0;0;0;0;25.74521446;19.60125351;10.19388294;17.03861809;0;1.44947958;12.19840908;275.6597595;7.374701023;453.7868347;11.55266762;0;0;43.7641716;0;0;45.57823181;10.65759659;0;0;0;0;0;0
