Species;Distance;Detection;Int_1;Int_2;Int_3;Int_4;Int_5;RemovalInterval;Latitude;Longitude;Date;JulianDate;Time;MinutesSinceDawn;Year;Observer;Location_ID;Checklist_ID
amro;75;v;1;1;1;1;1;1;44.419457;-123.30855;19.05.2011;139;07:14:00;170;11;WDRobinson;44.419457_-123.30855;44.419457_-123.30855_139_170_11
amro;72;v;1;1;1;1;1;1;44.419457;-123.30855;19.05.2011;139;07:14:00;170;11;WDRobinson;44.419457_-123.30855;44.419457_-123.30855_139_170_11
amro;127;v;1;1;1;1;1;1;44.419457;-123.30855;19.05.2011;139;07:14:00;170;11;WDRobinson;44.419457_-123.30855;44.419457_-123.30855_139_170_11
amro;134;v;1;1;1;1;1;1;44.419457;-123.30855;19.05.2011;139;07:14:00;170;11;WDRobinson;44.419457_-123.30855;44.419457_-123.30855_139_170_11
amro;88;v;1;1;1;1;1;1;44.419457;-123.30855;19.05.2011;139;07:14:00;170;11;WDRobinson;44.419457_-123.30855;44.419457_-123.30855_139_170_11
amro;95;v;1;1;1;1;1;1;44.415856;-123.30853;19.05.2011;139;07:35:00;191;11;WDRobinson;44.415856_-123.30853;44.415856_-123.30853_139_191_11
amro;96;v;0;0;1;1;1;3;44.415856;-123.30853;19.05.2011;139;07:35:00;191;11;WDRobinson;44.415856_-123.30853;44.415856_-123.30853_139_191_11
amro;109;v;1;1;1;1;1;1;44.417663;-123.30603;19.05.2011;139;08:39:00;255;11;WDRobinson;44.417663_-123.30603;44.417663_-123.30603_139_255_11
amro;95;s;1;1;1;1;1;1;44.41765;-123.31105;19.05.2011;139;08:57:00;273;11;WDRobinson;44.41765_-123.31105;44.41765_-123.31105_139_273_11
amro;90;s;1;1;1;1;1;1;44.41765;-123.31105;19.05.2011;139;08:57:00;273;11;WDRobinson;44.41765_-123.31105;44.41765_-123.31105_139_273_11
amro;95;s;0;0;0;1;1;4;44.419454;-123.31106;19.05.2011;139;09:09:00;285;11;WDRobinson;44.419454_-123.31106;44.419454_-123.31106_139_285_11
amro;87;s;0;0;0;0;1;5;44.3906;-123.32598;26.05.2011;146;08:12:00;236;11;RPMoore;44.3906_-123.32598;44.3906_-123.32598_146_236_11
amro;88;s;1;1;1;1;1;1;44.390592;-123.32849;20.05.2011;140;06:54:00;151;11;WDRobinson;44.390592_-123.32849;44.390592_-123.32849_140_151_11
amro;105;v;1;1;1;1;0;1;44.392393;-123.3285;20.05.2011;140;07:32:00;189;11;WDRobinson;44.392393_-123.3285;44.392393_-123.3285_140_189_11
amro;25;c;1;1;1;1;1;1;44.394201;-123.326;11.06.2011;162;10:09:00;365;11;WDRobinson;44.394201_-123.326;44.394201_-123.326_162_365_11
amro;15;v;0;0;0;0;1;5;44.394201;-123.326;11.06.2011;162;10:09:00;365;11;WDRobinson;44.394201_-123.326;44.394201_-123.326_162_365_11
amro;90;s;1;1;1;1;1;1;44.408605;-123.32608;22.05.2011;142;06:43:00;143;11;WDRobinson;44.408605_-123.32608;44.408605_-123.32608_142_143_11
amro;80;s;1;1;1;1;1;1;44.403298;-123.29088;22.05.2011;142;09:24:00;304;11;WDRobinson;44.403298_-123.29088;44.403298_-123.29088_142_304_11
amro;82;s;1;1;1;1;1;1;44.403298;-123.29088;22.05.2011;142;09:24:00;304;11;WDRobinson;44.403298_-123.29088;44.403298_-123.29088_142_304_11
amro;224;c;0;0;0;0;1;5;44.412301;-123.29093;23.05.2011;143;06:38:00;139;11;RPMoore;44.412301_-123.29093;44.412301_-123.29093_143_139_11
amro;60;s;1;1;1;1;1;1;44.394289;-123.29335;23.05.2011;143;06:40:00;141;11;WDRobinson;44.394289_-123.29335;44.394289_-123.29335_143_141_11
amro;119;s;1;1;1;1;1;1;44.399691;-123.29338;23.05.2011;143;07:18:00;179;11;WDRobinson;44.399691_-123.29338;44.399691_-123.29338_143_179_11
amro;30;fv;0;0;0;1;0;4;44.42131;-123.28846;23.05.2011;143;08:08:00;229;11;RPMoore;44.42131_-123.28846;44.42131_-123.28846_143_229_11
amro;45;c;0;0;1;0;0;3;44.414108;-123.28843;23.05.2011;143;08:50:00;271;11;RPMoore;44.414108_-123.28843;44.414108_-123.28843_143_271_11
amro;200;s;1;1;1;1;1;1;44.4087;-123.29091;23.05.2011;143;06:11:00;112;11;RPMoore;44.4087_-123.29091;44.4087_-123.29091_143_112_11
amro;90;s;1;1;1;1;1;1;44.401498;-123.29088;23.05.2011;143;09:38:00;319;11;WDRobinson;44.401498_-123.29088;44.401498_-123.29088_143_319_11
amro;80;s;1;1;1;1;1;1;44.388806;-123.32346;24.05.2011;144;06:21:00;123;11;WDRobinson;44.388806_-123.32346;44.388806_-123.32346_144_123_11
amro;50;c;0;0;0;0;1;5;44.388806;-123.32346;24.05.2011;144;06:21:00;123;11;WDRobinson;44.388806_-123.32346;44.388806_-123.32346_144_123_11
amro;20;s;1;1;1;1;1;1;44.388799;-123.32597;24.05.2011;144;06:39:00;141;11;WDRobinson;44.388799_-123.32597;44.388799_-123.32597_144_141_11
amro;20;c;1;1;1;1;1;1;44.388799;-123.32597;24.05.2011;144;06:39:00;141;11;WDRobinson;44.388799_-123.32597;44.388799_-123.32597_144_141_11
amro;50;s;1;1;1;1;1;1;44.388792;-123.32848;24.05.2011;144;06:55:00;157;11;WDRobinson;44.388792_-123.32848;44.388792_-123.32848_144_157_11
amro;22;s;1;1;0;0;1;1;44.385191;-123.32846;24.05.2011;144;07:53:00;215;11;WDRobinson;44.385191_-123.32846;44.385191_-123.32846_144_215_11
amro;15;c;0;0;0;0;1;5;44.387013;-123.32094;24.05.2011;144;09:55:00;337;11;WDRobinson;44.387013_-123.32094;44.387013_-123.32094_144_337_11
amro;90;cs;1;1;1;0;0;1;44.387006;-123.32345;24.05.2011;144;10:09:00;351;11;WDRobinson;44.387006_-123.32345;44.387006_-123.32345_144_351_11
amro;50;s;1;1;1;1;1;1;44.412199;-123.32861;26.05.2011;146;07:56:00;220;11;WDRobinson;44.412199_-123.32861;44.412199_-123.32861_146_220_11
amro;18;s;1;1;1;1;1;1;44.415807;-123.32612;26.05.2011;146;08:40:00;264;11;WDRobinson;44.415807_-123.32612;44.415807_-123.32612_146_264_11
amro;35;v;0;0;0;1;1;4;44.4158;-123.32863;26.05.2011;146;08:52:00;276;11;WDRobinson;44.4158_-123.32863;44.4158_-123.32863_146_276_11
amro;100;s;1;1;1;1;1;1;44.417608;-123.32613;26.05.2011;146;09:15:00;299;11;WDRobinson;44.417608_-123.32613;44.417608_-123.32613_146_299_11
amro;80;s;1;0;0;1;1;1;44.419408;-123.32614;26.05.2011;146;09:27:00;311;11;WDRobinson;44.419408_-123.32614;44.419408_-123.32614_146_311_11
amro;100;c;0;0;0;1;1;4;44.397837;-123.31346;27.05.2011;147;07:02:00;167;11;WDRobinson;44.397837_-123.31346;44.397837_-123.31346_147_167_11
amro;35;v;0;0;0;1;0;4;44.390642;-123.31091;26.05.2011;146;06:46:00;150;11;RPMoore;44.390642_-123.31091;44.390642_-123.31091_146_150_11
amro;15;fv;0;0;1;0;0;3;44.390655;-123.30589;27.05.2011;147;08:21:00;246;11;WDRobinson;44.390655_-123.30589;44.390655_-123.30589_147_246_11
amro;20;fv;0;0;1;0;0;3;44.390655;-123.30589;27.05.2011;147;08:21:00;246;11;WDRobinson;44.390655_-123.30589;44.390655_-123.30589_147_246_11
amro;22;fv;0;0;1;0;0;3;44.390655;-123.30589;27.05.2011;147;08:21:00;246;11;WDRobinson;44.390655_-123.30589;44.390655_-123.30589_147_246_11
amro;25;fv;0;0;1;0;0;3;44.390655;-123.30589;27.05.2011;147;08:21:00;246;11;WDRobinson;44.390655_-123.30589;44.390655_-123.30589_147_246_11
amro;70;c;1;1;1;0;1;1;44.390662;-123.30338;27.05.2011;147;08:31:00;256;11;WDRobinson;44.390662_-123.30338;44.390662_-123.30338_147_256_11
amro;20;fv;0;0;0;0;1;5;44.392456;-123.3059;27.05.2011;147;08:56:00;281;11;WDRobinson;44.392456_-123.3059;44.392456_-123.3059_147_281_11
amro;80;s;1;1;1;0;0;1;44.426666;-123.30608;28.05.2011;148;07:30:00;197;11;RPMoore;44.426666_-123.30608;44.426666_-123.30608_148_197_11
amro;75;csv;0;0;0;0;1;5;44.42846;-123.3086;28.05.2011;148;08:07:00;234;11;RPMoore;44.42846_-123.3086;44.42846_-123.3086_148_234_11
amro;35;s;0;0;0;0;1;5;44.42846;-123.3086;28.05.2011;148;08:07:00;234;11;RPMoore;44.42846_-123.3086;44.42846_-123.3086_148_234_11
amro;80;c;1;1;1;1;1;1;44.426659;-123.30859;28.05.2011;148;08:30:00;257;11;RPMoore;44.426659_-123.30859;44.426659_-123.30859_148_257_11
amro;74;cv;0;0;0;0;1;5;44.426659;-123.30859;28.05.2011;148;08:30:00;257;11;RPMoore;44.426659_-123.30859;44.426659_-123.30859_148_257_11
amro;95;s;0;0;0;0;1;5;44.403245;-123.31098;28.05.2011;148;08:40:00;266;11;WDRobinson;44.403245_-123.31098;44.403245_-123.31098_148_266_11
amro;70;fv;0;0;0;1;0;4;44.403245;-123.31098;28.05.2011;148;08:40:00;266;11;WDRobinson;44.403245_-123.31098;44.403245_-123.31098_148_266_11
amro;90;c;1;1;1;1;1;1;44.405053;-123.30848;28.05.2011;148;09:02:00;288;11;WDRobinson;44.405053_-123.30848;44.405053_-123.30848_148_288_11
amro;50;s;1;1;1;1;1;1;44.405053;-123.30848;28.05.2011;148;09:02:00;288;11;WDRobinson;44.405053_-123.30848;44.405053_-123.30848_148_288_11
amro;25;s;1;1;1;1;0;1;44.410441;-123.31353;28.05.2011;148;09:43:00;329;11;WDRobinson;44.410441_-123.31353;44.410441_-123.31353_148_329_11
amro;80;s;1;1;1;1;1;1;44.408633;-123.31603;28.05.2011;148;10:04:00;350;11;WDRobinson;44.408633_-123.31603;44.408633_-123.31603_148_350_11
amro;65;s;1;1;1;0;0;1;44.397857;-123.30593;28.05.2011;148;10:37:00;383;11;WDRobinson;44.397857_-123.30593;44.397857_-123.30593_148_383_11
amro;95;c;1;1;1;1;1;1;44.403225;-123.31851;04.06.2011;155;08:48:00;280;11;WDRobinson;44.403225_-123.31851;44.403225_-123.31851_155_280_11
amro;25;v;1;1;1;1;1;1;44.405025;-123.31852;29.05.2011;149;07:41:00;208;11;WDRobinson;44.405025_-123.31852;44.405025_-123.31852_149_208_11
amro;85;s;1;1;1;1;1;1;44.405025;-123.31852;29.05.2011;149;07:41:00;208;11;WDRobinson;44.405025_-123.31852;44.405025_-123.31852_149_208_11
amro;45;s;1;1;1;1;0;1;44.406826;-123.31853;29.05.2011;149;07:51:00;218;11;WDRobinson;44.406826_-123.31853;44.406826_-123.31853_149_218_11
amro;50;s;1;1;0;1;1;1;44.399644;-123.31096;29.05.2011;149;08:22:00;249;11;WDRobinson;44.399644_-123.31096;44.399644_-123.31096_149_249_11
amro;55;c;1;1;1;1;1;1;44.399665;-123.30342;29.05.2011;149;09:00:00;287;11;WDRobinson;44.399665_-123.30342;44.399665_-123.30342_149_287_11
amro;30;c;1;1;1;1;1;1;44.401465;-123.30343;29.05.2011;149;09:16:00;303;11;WDRobinson;44.401465_-123.30343;44.401465_-123.30343_149_303_11
amro;50;c;0;0;0;0;1;5;44.401445;-123.31097;29.05.2011;149;09:51:00;338;11;WDRobinson;44.401445_-123.31097;44.401445_-123.31097_149_338_11
amro;80;cfv;0;0;1;1;1;3;44.415771;-123.33868;31.05.2011;151;07:48:00;217;11;WDRobinson;44.415771_-123.33868;44.415771_-123.33868_151_217_11
amro;70;cs;1;1;0;1;1;1;44.41412;-123.338731;31.05.2011;151;08:02:00;231;11;WDRobinson;44.41412_-123.338731;44.41412_-123.338731_151_231_11
amro;80;s;1;1;1;1;1;1;44.410376;-123.33613;31.05.2011;151;09:23:00;312;11;WDRobinson;44.410376_-123.33613;44.410376_-123.33613_151_312_11
amro;62;v;0;0;0;1;1;4;44.410384;-123.33362;31.05.2011;151;09:34:00;323;11;WDRobinson;44.410384_-123.33362;44.410384_-123.33362_151_323_11
amro;95;c;1;1;1;1;1;1;44.426653;-123.3111;31.05.2011;151;10:00:00;349;11;WDRobinson;44.426653_-123.3111;44.426653_-123.3111_151_349_11
amro;95;c;1;1;1;1;1;1;44.426653;-123.3111;31.05.2011;151;10:00:00;349;11;WDRobinson;44.426653_-123.3111;44.426653_-123.3111_151_349_11
amro;50;c;1;1;0;0;0;1;44.424852;-123.31109;31.05.2011;151;10:08:00;357;11;WDRobinson;44.424852_-123.31109;44.424852_-123.31109_151_357_11
amro;86;cv;0;0;1;1;1;3;44.426618;-123.32366;01.06.2011;152;06:38:00;148;11;WDRobinson;44.426618_-123.32366;44.426618_-123.32366_152_148_11
amro;40;c;1;0;0;0;0;1;44.428418;-123.32367;01.06.2011;152;06:49:00;159;11;WDRobinson;44.428418_-123.32367;44.428418_-123.32367_152_159_11
amro;50;c;0;1;1;1;1;2;44.428876;-123.31614;01.06.2011;152;07:27:00;197;11;WDRobinson;44.428876_-123.31614;44.428876_-123.31614_152_197_11
amro;50;c;0;1;1;1;1;2;44.428876;-123.31614;01.06.2011;152;07:27:00;197;11;WDRobinson;44.428876_-123.31614;44.428876_-123.31614_152_197_11
amro;52;cv;0;0;0;1;1;4;44.428446;-123.31362;01.06.2011;152;07:42:00;212;11;WDRobinson;44.428446_-123.31362;44.428446_-123.31362_152_212_11
amro;25;s;1;1;1;1;1;1;44.428443;-123.311748;01.06.2011;152;07:57:00;227;11;WDRobinson;44.428443_-123.311748;44.428443_-123.311748_152_227_11
amro;80;s;1;1;1;1;1;1;44.432054;-123.31113;01.06.2011;152;08:27:00;257;11;WDRobinson;44.432054_-123.31113;44.432054_-123.31113_152_257_11
amro;70;s;0;1;1;1;1;2;44.430184;-123.316142;01.06.2011;152;09:55:00;345;11;WDRobinson;44.430184_-123.316142;44.430184_-123.316142_152_345_11
amro;80;v;1;1;1;0;0;1;44.406887;-123.29593;02.06.2011;153;06:52:00;163;11;WDRobinson;44.406887_-123.29593;44.406887_-123.29593_153_163_11
amro;50;s;0;1;1;1;1;2;44.406873;-123.30095;02.06.2011;153;10:20:00;371;11;WDRobinson;44.406873_-123.30095;44.406873_-123.30095_153_371_11
amro;60;cf;1;1;0;0;0;1;44.40688;-123.29844;02.06.2011;153;10:32:00;383;11;WDRobinson;44.40688_-123.29844;44.40688_-123.29844_153_383_11
amro;20;c;0;0;0;1;1;4;44.421248;-123.326083;03.06.2011;154;06:08:00;120;11;WDRobinson;44.421248_-123.326083;44.421248_-123.326083_154_120_11
amro;20;c;0;0;1;0;0;3;44.421202;-123.32866;03.06.2011;154;08:47:00;279;11;WDRobinson;44.421202_-123.32866;44.421202_-123.32866_154_279_11
amro;27;sv;0;1;1;1;1;2;44.39068;-123.29915;04.06.2011;155;07:09:00;181;11;WDRobinson;44.39068_-123.29915;44.39068_-123.29915_155_181_11
amro;28;v;1;0;1;0;0;1;44.392476;-123.29837;04.06.2011;155;07:20:00;192;11;WDRobinson;44.392476_-123.29837;44.392476_-123.29837_155_192_11
amro;40;c;1;1;1;1;0;1;44.392476;-123.29837;04.06.2011;155;07:20:00;192;11;WDRobinson;44.392476_-123.29837;44.392476_-123.29837_155_192_11
amro;30;c;0;0;1;1;1;3;44.396077;-123.29838;04.06.2011;155;07:47:00;219;11;WDRobinson;44.396077_-123.29838;44.396077_-123.29838_155_219_11
amro;95;c;1;1;1;1;1;1;44.397877;-123.29839;04.06.2011;155;08:00:00;232;11;WDRobinson;44.397877_-123.29839;44.397877_-123.29839_155_232_11
amro;50;s;1;1;0;0;0;1;44.401531;-123.301099;04.06.2011;155;08:35:00;267;11;WDRobinson;44.401531_-123.301099;44.401531_-123.301099_155_267_11
amro;35;s;1;1;0;0;1;1;44.401531;-123.301099;04.06.2011;155;08:35:00;267;11;WDRobinson;44.401531_-123.301099;44.401531_-123.301099_155_267_11
amro;50;s;1;1;0;1;1;1;44.405073;-123.30094;04.06.2011;155;09:07:00;299;11;WDRobinson;44.405073_-123.30094;44.405073_-123.30094_155_299_11
amro;40;s;1;0;0;0;0;1;44.388868;-123.30086;06.06.2011;157;06:29:00;143;11;WDRobinson;44.388868_-123.30086;44.388868_-123.30086_157_143_11
amro;70;s;0;0;0;1;1;4;44.387067;-123.30085;06.06.2011;157;06:47:00;161;11;WDRobinson;44.387067_-123.30085;44.387067_-123.30085_157_161_11
amro;50;s;1;1;1;1;1;1;44.385588;-123.300729;06.06.2011;157;07:07:00;181;11;WDRobinson;44.385588_-123.300729;44.385588_-123.300729_157_181_11
amro;30;c;1;1;1;1;1;1;44.3852;-123.303084;06.06.2011;157;07:42:00;216;11;WDRobinson;44.3852_-123.303084;44.3852_-123.303084_157_216_11
amro;15;c;1;1;1;1;1;1;44.3852;-123.303084;06.06.2011;157;07:42:00;216;11;WDRobinson;44.3852_-123.303084;44.3852_-123.303084_157_216_11
amro;30;c;1;1;1;1;1;1;44.383591;-123.30258;06.06.2011;157;08:08:00;242;11;WDRobinson;44.383591_-123.30258;44.383591_-123.30258_157_242_11
amro;35;s;0;0;0;0;1;5;44.383591;-123.30258;06.06.2011;157;08:08:00;242;11;WDRobinson;44.383591_-123.30258;44.383591_-123.30258_157_242_11
amro;40;s;1;1;1;1;1;1;44.383466;-123.30083;06.06.2011;157;08:22:00;256;11;WDRobinson;44.383466_-123.30083;44.383466_-123.30083_157_256_11
amro;60;c;1;1;1;1;1;1;44.381666;-123.30082;06.06.2011;157;08:38:00;272;11;WDRobinson;44.381666_-123.30082;44.381666_-123.30082_157_272_11
amro;60;c;1;1;1;1;1;1;44.381666;-123.30082;06.06.2011;157;08:38:00;272;11;WDRobinson;44.381666_-123.30082;44.381666_-123.30082_157_272_11
amro;40;cs;1;1;1;1;1;1;44.381666;-123.30082;06.06.2011;157;08:45:00;279;11;WDRobinson;44.381666_-123.30082;44.381666_-123.30082_157_279_11
amro;50;c;1;1;1;1;1;1;44.381666;-123.30082;06.06.2011;157;08:45:00;279;11;WDRobinson;44.381666_-123.30082;44.381666_-123.30082_157_279_11
amro;40;s;0;0;0;0;1;5;44.381666;-123.30082;06.06.2011;157;08:45:00;279;11;WDRobinson;44.381666_-123.30082;44.381666_-123.30082_157_279_11
amro;35;s;1;1;1;1;1;1;44.381672;-123.29831;06.06.2011;157;09:11:00;305;11;WDRobinson;44.381672_-123.29831;44.381672_-123.29831_157_305_11
amro;40;s;1;1;1;1;1;1;44.381791;-123.299732;06.06.2011;157;09:33:00;327;11;WDRobinson;44.381791_-123.299732;44.381791_-123.299732_157_327_11
amro;20;c;1;1;1;1;1;1;44.384712;-123.303241;06.06.2011;157;10:00:00;354;11;WDRobinson;44.384712_-123.303241;44.384712_-123.303241_157_354_11
amro;30;c;1;1;1;1;1;1;44.384712;-123.303241;06.06.2011;157;10:00:00;354;11;WDRobinson;44.384712_-123.303241;44.384712_-123.303241_157_354_11
amro;30;c;1;1;1;1;1;1;44.384712;-123.303241;06.06.2011;157;10:00:00;354;11;WDRobinson;44.384712_-123.303241;44.384712_-123.303241_157_354_11
amro;6;cv;1;1;1;1;1;1;44.38703;-123.303728;06.06.2011;157;10:30:00;384;11;WDRobinson;44.38703_-123.303728;44.38703_-123.303728_157_384_11
amro;20;c;1;1;1;1;1;1;44.38703;-123.303728;06.06.2011;157;10:30:00;384;11;WDRobinson;44.38703_-123.303728;44.38703_-123.303728_157_384_11
amro;95;c;0;0;0;0;1;5;44.38703;-123.303728;06.06.2011;157;10:30:00;384;11;WDRobinson;44.38703_-123.303728;44.38703_-123.303728_157_384_11
amro;90;s;1;1;1;0;0;1;44.410354;-123.34367;07.06.2011;158;06:30:00;144;11;WDRobinson;44.410354_-123.34367;44.410354_-123.34367_158_144_11
amro;70;s;1;1;1;1;1;1;44.40496;-123.34113;07.06.2011;158;08:10:00;244;11;WDRobinson;44.40496_-123.34113;44.40496_-123.34113_158_244_11
amro;80;s;1;1;1;1;1;1;44.404967;-123.33862;07.06.2011;158;08:25:00;259;11;WDRobinson;44.404967_-123.33862;44.404967_-123.33862_158_259_11
amro;40;c;1;1;1;1;1;1;44.404967;-123.33862;07.06.2011;158;08:25:00;259;11;WDRobinson;44.404967_-123.33862;44.404967_-123.33862_158_259_11
amro;50;s;1;1;1;1;1;1;44.40676;-123.34114;07.06.2011;158;08:54:00;288;11;WDRobinson;44.40676_-123.34114;44.40676_-123.34114_158_288_11
amro;5;c;0;0;0;1;0;4;44.408561;-123.34115;07.06.2011;158;09:22:00;316;11;WDRobinson;44.408561_-123.34115;44.408561_-123.34115_158_316_11
amro;40;cs;0;1;1;1;1;2;44.408568;-123.33864;07.06.2011;158;09:35:00;329;11;WDRobinson;44.408568_-123.33864;44.408568_-123.33864_158_329_11
amro;20;c;1;1;0;0;0;1;44.397735;-123.34862;08.06.2011;159;07:31:00;206;11;WDRobinson;44.397735_-123.34862;44.397735_-123.34862_159_206_11
amro;75;s;0;0;0;1;1;4;44.401344;-123.34613;08.06.2011;159;09:39:00;334;11;WDRobinson;44.401344_-123.34613;44.401344_-123.34613_159_334_11
amro;50;cs;1;0;1;1;1;1;44.401351;-123.34362;08.06.2011;159;10:05:00;360;11;WDRobinson;44.401351_-123.34362;44.401351_-123.34362_159_360_11
amro;30;c;0;0;0;1;1;4;44.403152;-123.34363;08.06.2011;159;10:22:00;377;11;WDRobinson;44.403152_-123.34363;44.403152_-123.34363_159_377_11
amro;22;v;0;0;0;0;1;5;44.403144;-123.34614;08.06.2011;159;10:37:00;392;11;WDRobinson;44.403144_-123.34614;44.403144_-123.34614_159_392_11
amro;20;c;0;0;0;0;1;5;44.424845;-123.3136;10.06.2011;161;06:23:00;139;11;WDRobinson;44.424845_-123.3136;44.424845_-123.3136_161_139_11
amro;25;c;0;0;1;1;1;3;44.423903;-123.315485;10.06.2011;161;06:40:00;156;11;WDRobinson;44.423903_-123.315485;44.423903_-123.315485_161_156_11
amro;25;c;1;1;0;0;0;1;44.423031;-123.31862;10.06.2011;161;07:07:00;183;11;WDRobinson;44.423031_-123.31862;44.423031_-123.31862_161_183_11
amro;25;c;1;1;0;0;0;1;44.423031;-123.31862;10.06.2011;161;07:07:00;183;11;WDRobinson;44.423031_-123.31862;44.423031_-123.31862_161_183_11
amro;15;c;0;1;1;1;1;2;44.42123;-123.31861;10.06.2011;161;07:25:00;201;11;WDRobinson;44.42123_-123.31861;44.42123_-123.31861_161_201_11
